config_id,source,bin_width,u_max,max_k,matrix_size,samples,seed,l2_to_sine_kernel,mean_normalized_spacing,notes
h006_m120_s15,gue,0.025,5,100,120,15,1730,0.168616198432,1,GUE sine-kernel comparison
h006_m120_s15,goe,0.025,5,100,120,15,1729,0.180294678125,1,GOE contrast ensemble
h006_m120_s25,gue,0.025,5,100,120,25,1730,0.131651910103,1,GUE sine-kernel comparison
h006_m120_s25,goe,0.025,5,100,120,25,1729,0.152848344519,1,GOE contrast ensemble
h007_m60_s15,gue,0.025,8,25,60,15,1730,0.250411956896,1,GUE sine-kernel comparison
h007_m60_s15,goe,0.025,8,25,60,15,1729,0.26619783151,1,GOE contrast ensemble
h007_m60_s25,gue,0.025,8,25,60,25,1730,0.186137468376,1,GUE sine-kernel comparison
h007_m60_s25,goe,0.025,8,25,60,25,1729,0.210785911251,1,GOE contrast ensemble
h007_m80_s15,gue,0.025,8,25,80,15,1730,0.224138702661,1,GUE sine-kernel comparison
h007_m80_s15,goe,0.025,8,25,80,15,1729,0.229135460452,1,GOE contrast ensemble
h007_m80_s25,gue,0.025,8,25,80,25,1730,0.176834859112,1,GUE sine-kernel comparison
h007_m80_s25,goe,0.025,8,25,80,25,1729,0.185091095312,1,GOE contrast ensemble
h007_m120_s15,gue,0.025,8,25,120,15,1730,0.171004105048,1,GUE sine-kernel comparison
h007_m120_s15,goe,0.025,8,25,120,15,1729,0.179224610877,1,GOE contrast ensemble
h007_m120_s25,gue,0.025,8,25,120,25,1730,0.134766586338,1,GUE sine-kernel comparison
h007_m120_s25,goe,0.025,8,25,120,25,1729,0.152724004794,1,GOE contrast ensemble
h008_m60_s15,gue,0.025,8,50,60,15,1730,0.250411956896,1,GUE sine-kernel comparison
h008_m60_s15,goe,0.025,8,50,60,15,1729,0.26619783151,1,GOE contrast ensemble
h008_m60_s25,gue,0.025,8,50,60,25,1730,0.186137468376,1,GUE sine-kernel comparison
h008_m60_s25,goe,0.025,8,50,60,25,1729,0.210785911251,1,GOE contrast ensemble
h008_m80_s15,gue,0.025,8,50,80,15,1730,0.224138702661,1,GUE sine-kernel comparison
h008_m80_s15,goe,0.025,8,50,80,15,1729,0.229135460452,1,GOE contrast ensemble
h008_m80_s25,gue,0.025,8,50,80,25,1730,0.176834859112,1,GUE sine-kernel comparison
h008_m80_s25,goe,0.025,8,50,80,25,1729,0.185091095312,1,GOE contrast ensemble
h008_m120_s15,gue,0.025,8,50,120,15,1730,0.171004105048,1,GUE sine-kernel comparison
