index,gamma,source,block_label
1000000000299,267653395725.7188703773,odlyzko_block_1e12_10k,block_1e12_10k
1000000000300,267653395725.9037886248,odlyzko_block_1e12_10k,block_1e12_10k
1000000000301,267653395726.0634847811,odlyzko_block_1e12_10k,block_1e12_10k
1000000000302,267653395726.4250735751,odlyzko_block_1e12_10k,block_1e12_10k
1000000000303,267653395726.5080600672,odlyzko_block_1e12_10k,block_1e12_10k
1000000000304,267653395726.7161558370,odlyzko_block_1e12_10k,block_1e12_10k
1000000000305,267653395726.7838302115,odlyzko_block_1e12_10k,block_1e12_10k
1000000000306,267653395727.2792299763,odlyzko_block_1e12_10k,block_1e12_10k
1000000000307,267653395727.5680389296,odlyzko_block_1e12_10k,block_1e12_10k
1000000000308,267653395727.8192990324,odlyzko_block_1e12_10k,block_1e12_10k
1000000000309,267653395728.0641250698,odlyzko_block_1e12_10k,block_1e12_10k
1000000000310,267653395728.3005157637,odlyzko_block_1e12_10k,block_1e12_10k
1000000000311,267653395728.4006932711,odlyzko_block_1e12_10k,block_1e12_10k
1000000000312,267653395728.7215825643,odlyzko_block_1e12_10k,block_1e12_10k
1000000000313,267653395729.0028129545,odlyzko_block_1e12_10k,block_1e12_10k
1000000000314,267653395729.3510141764,odlyzko_block_1e12_10k,block_1e12_10k
1000000000315,267653395729.4909394454,odlyzko_block_1e12_10k,block_1e12_10k
1000000000316,267653395729.6777743458,odlyzko_block_1e12_10k,block_1e12_10k
1000000000317,267653395730.1943800731,odlyzko_block_1e12_10k,block_1e12_10k
1000000000318,267653395730.4077978925,odlyzko_block_1e12_10k,block_1e12_10k
1000000000319,267653395730.7010386651,odlyzko_block_1e12_10k,block_1e12_10k
1000000000320,267653395730.9546539634,odlyzko_block_1e12_10k,block_1e12_10k
1000000000321,267653395731.1101192093,odlyzko_block_1e12_10k,block_1e12_10k
1000000000322,267653395731.4286206755,odlyzko_block_1e12_10k,block_1e12_10k
1000000000323,267653395731.7527723612,odlyzko_block_1e12_10k,block_1e12_10k
1000000000324,267653395732.1756251231,odlyzko_block_1e12_10k,block_1e12_10k
1000000000325,267653395732.2404023007,odlyzko_block_1e12_10k,block_1e12_10k
1000000000326,267653395732.5623390391,odlyzko_block_1e12_10k,block_1e12_10k
1000000000327,267653395732.6374280067,odlyzko_block_1e12_10k,block_1e12_10k
1000000000328,267653395732.9846639785,odlyzko_block_1e12_10k,block_1e12_10k
1000000000329,267653395733.2600123078,odlyzko_block_1e12_10k,block_1e12_10k
1000000000330,267653395733.4109278524,odlyzko_block_1e12_10k,block_1e12_10k
1000000000331,267653395733.6458301804,odlyzko_block_1e12_10k,block_1e12_10k
1000000000332,267653395733.9702739906,odlyzko_block_1e12_10k,block_1e12_10k
1000000000333,267653395734.2411473510,odlyzko_block_1e12_10k,block_1e12_10k
1000000000334,267653395734.3737974286,odlyzko_block_1e12_10k,block_1e12_10k
1000000000335,267653395734.6436958320,odlyzko_block_1e12_10k,block_1e12_10k
1000000000336,267653395735.0895581619,odlyzko_block_1e12_10k,block_1e12_10k
1000000000337,267653395735.3608537341,odlyzko_block_1e12_10k,block_1e12_10k
1000000000338,267653395735.5555885553,odlyzko_block_1e12_10k,block_1e12_10k
1000000000339,267653395735.8506529904,odlyzko_block_1e12_10k,block_1e12_10k
1000000000340,267653395736.0870562994,odlyzko_block_1e12_10k,block_1e12_10k
1000000000341,267653395736.3851781437,odlyzko_block_1e12_10k,block_1e12_10k
1000000000342,267653395736.5294987542,odlyzko_block_1e12_10k,block_1e12_10k
1000000000343,267653395736.9102996420,odlyzko_block_1e12_10k,block_1e12_10k
1000000000344,267653395737.0185188124,odlyzko_block_1e12_10k,block_1e12_10k
1000000000345,267653395737.2090116016,odlyzko_block_1e12_10k,block_1e12_10k
1000000000346,267653395737.4965033849,odlyzko_block_1e12_10k,block_1e12_10k
1000000000347,267653395737.6751794962,odlyzko_block_1e12_10k,block_1e12_10k
1000000000348,267653395737.8509162420,odlyzko_block_1e12_10k,block_1e12_10k
